Lemma;Descriptor;OlfN;TotalN;logFreq;Tokens;Category;Domain;OAI;OSI;Termhood;OAIquantile;THquantile;Concreteness;Imageability;Arousal;Dominance;Auditory;Gustatory;Haptic;Interoceptive;Olfactory;Visual;DominantModality;Valence
COFFEE;coffee__#__bean;40;536;3.688879454;['coffee__#__bean_COLL'];Source;Source;-3.744161096;14.14390532;84.49253272;0.652669039;0.568327402;;;;;;;;;;;;
COLA;cola;2822;5678;7.945201132;['cola_NN'];Source;Source;-1.008664861;8.003331137;13776.0124;0.814234875;0.984341637;4.79;628.6;4.29;6;1.5;4.45;1.45;1.65;1.55;2.9;Gustatory;5.67
COMPLEX;complex;1978;69192;7.589841512;['complex_JJ', 'complex_NN'];Abstract;Abstract;-5.128490911;8.516006699;4010.222778;0.534163701;0.95480427;1.96;317.75;4.6;5.25;2.473684211;0.684210526;1.052631579;1.789473684;0.578947368;3.052631579;Visual;4.21
COMPLEX;complexity;1099;16832;7.002155954;['complexity_NN'];Abstract;Abstract;-3.936943318;9.363857739;3132.354957;0.63594306;0.94341637;1.87;;5.13;5.84;2.722222222;1.555555556;1.777777778;2.333333333;1.222222222;3.722222222;Visual;5.37
COMPLEX;complicated;43;28900;3.761200116;['complicated_JJ'];Abstract;Abstract;-9.392517118;14.03956866;-37.97144374;0.197508897;0.161565836;2.21;334.3;5.75;5.79;2.111111111;0.333333333;0.5;0.777777778;0.333333333;2.666666667;Visual;3.82
CONCENTRATED;concentrated;1272;3678;7.148345744;['concentrated_JJ', 'concentrated_NN'];Strong;Evaluative;-1.531822809;9.152950455;5761.646302;0.788256228;0.968683274;2.38;;;;0.764705882;0.411764706;0.176470588;0.823529412;0.294117647;1.705882353;Visual;
CONCENTRATED;concentration;710;25380;6.56526497;['concentration_NN'];Strong;Evaluative;-5.159729234;9.994158196;1421.531047;0.530960854;0.898576512;2.1;;4;6.63;0.947368421;0.052631579;0.157894737;3;0.052631579;2.368421053;Interoceptive;5.45
CRANBERRY;cranberry;992;4075;6.899723107;['cranberry_NN', 'cranberry_JJ'];Source;Source;-2.038388034;9.5116371;4146.3329;0.759430605;0.956227758;4.96;;3.64;5.74;0.052631579;4.473684211;1.736842105;0.263157895;2.368421053;3.210526316;Gustatory;6.36
CRANBERRY;cranberryish;16;1;2.772588722;['cranberryish_JJ'];Source;Source;4;15.46583341;150.4233487;0.971174377;0.658007117;;;;;;;;;;;;
CREAMY;creaminess;125;115;4.828313737;['creaminess_NN'];Source;Source;0.120294234;12.50004913;719.7909904;0.867259786;0.848042705;3.19;;;;0.263157895;3.368421053;2.947368421;0.473684211;0.631578947;3.105263158;Gustatory;
CREAMY;creamy;3301;4552;8.101980732;['creamy_NN', 'creamy_JJ'];Source;Source;-0.463597419;7.777145987;17383.43381;0.842348754;0.989679715;3.62;;3.12;6.06;0.470588235;3.588235294;3;1.411764706;1.352941176;3.294117647;Gustatory;6.48
CRÈME__#__BRÛLÉE;crème__#__brûlée;183;1;5.209486153;['crème__#__brûlée_COLL'];Source;Source;7.515699838;11.95013357;1731.306027;0.998576512;0.911032028;;;;;;;;;;;
CRISP;crisp;4918;8840;8.500657223;['crisp_JJ', 'crisp_NN'];Composition;Abstract;-0.845974635;7.20197739;24569.57342;0.823487544;0.993238434;3.69;556.1666667;3.95;6.14;2.2;2.4;3.15;0.8;0.7;1.95;Haptic;5.23
CRISP;crisper;30;345;3.401197382;['crisper_NN', 'crisper_JJ'];Composition;Abstract;-3.523561956;14.55894281;87.97367457;0.667615658;0.575088968;3.85;;;;2.421052632;2;2.052631579;0.263157895;0.421052632;3;Visual;
CRISP;crispness;330;232;5.799092654;['crispness_NN'];Composition;Abstract;0.508341219;11.0995112;1947.21112;0.883629893;0.918149466;3.58;;;;2.333333333;2.333333333;3.055555556;0.944444444;1;3.166666667;Visual;
CURRANT;currant;2169;818;7.682021511;['currant_NN', 'currant_JJ'];Source;Source;1.406857305;8.383019072;14240.50768;0.919928826;0.985053381;3.74;550;;;0.428571429;3.071428571;1.642857143;0.428571429;2.5;2.857142857;Gustatory;
DARK;dark;3765;133089;8.23350314;['dark_JJ', 'dark_NN'];Abstract;Abstract;-5.14359766;7.58739926;7605.549525;0.533807829;0.97544484;4.29;608.6;4.09;4.61;0.263157895;0.078947368;0.105263158;0.710526316;0.131578947;4.684210526;Visual;5.08
DARK;darkness;49;26795;3.891820298;['darkness_NN'];Abstract;Abstract;-9.094966351;13.85112357;-36.71420127;0.217437722;0.166192171;3.85;591.2;4.08;4.82;0.294117647;0.117647059;0.411764706;1.058823529;0.117647059;4.764705882;Visual;4.71
DARK__#__CHOCOLATE;bitter__#__chocolate;306;33;5.723585102;['bitter__#__chocolate_COLL'];Source;Source;3.212993723;11.20844557;1464.677198;0.956227758;0.901067616;;;;;;;;;;;;
DARK__#__CHOCOLATE;dark__#__chocolate;726;806;6.587550015;['dark__#__chocolate_COLL'];Source;Source;-0.150810291;9.962007672;2684.708621;0.853024911;0.933451957;;;;;;;;;;;;
DEEP;deep;1311;117567;7.178545484;['deep_JJ', 'deep_NN'];Abstract;Abstract;-6.48667167;9.10938144;1424.251959;0.409964413;0.899288256;3.38;460;3.9;4.94;1.470588235;0.529411765;1.941176471;1.176470588;0.411764706;3.705882353;Visual;5.44
DEEP;depth;1029;33514;6.936342736;['depth_NN'];Abstract;Abstract;-5.025449;9.458806143;2166.015713;0.54519573;0.923487544;3.11;399;4.35;5.24;0.941176471;0.647058824;2.647058824;1.352941176;0.588235294;4;Visual;5.8
